ID		        nm		        lat		        lon		    countryCode
819827	        Razvilka	    55.591667       37.740833	RU
524901	        Moscow	        55.752220       37.615555	RU
2973393	        Tarascon	    43.805828       4.660280	FR
2986678	        Ploufragan	    48.491409       -2.794580	FR
683506          Bucharest       44.4323         26.1063     RO
680963          Constanta       44.1833         28.65       RO
1524            Amsterdam       52.374          4.8897      NL
1541            Rotterdam       51.9225         4.4792      NL
1850144         Tokyo           35.6895         139.6917    JP
265569          Kyoto           35.0211         135.7538    JP
1273294         Delhi           28.6667         77.2167     IN
1275339         Mumbai          19.0144         72.8479     IN
1796236         Shanghai        31.2222         121.4581    CN
1816670         Beijing         39.9075         116.3972    CN
360630          Cairo           30.0626         31.2497     EG
361058          Alexandria      31.2156         29.9553     EG
4887398         Chicago         41.85           -87.65      US
4684904         Dallas          32.7668         -96.7836    US
6167865         Toronto         43.7001         -79.4163    CA
6183235         Winnipeg        49.8844         -97.147     CA
